Title,Link,Price,MRP,Discount,Image_URL
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Starlight",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjI5Njc2NDI3ODY2NTM6MTc1MTMxMDYwMjpzcF9waG9uZV9zZWFyY2hfYXRmOjMwMDM5Mjk2MzMyODIzMjo6MDo6&url=%2F2022-Apple-MacBook-Laptop-chip%2Fdp%2FB0DLHG997J%2Fref%3Dmp_s_a_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751310602%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&cr=DUB,N/A,"₹85,900",(8% off),https://m.media-amazon.com/images/I/01rrzVoKd5L.svg
"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14‑core CPU and 20‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 24GB Unified Memory, 1TB SSD Storage; Silver",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjI5Njc2NDI3ODY2NTM6MTc1MTMxMDYwMjpzcF9waG9uZV9zZWFyY2hfYXRmOjMwMDM5Mjk2MzMyNzEzMjo6MDo6&url=%2FApple-MacBook-Laptop-14%25E2%2580%2591core-20%25E2%2580%2591core%2Fdp%2FB0DLHFY1CL%2Fref%3Dmp_s_a_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751310602%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&cr=DUB,N/A,"₹2,39,900",(4% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W",https://www.amazon.in/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-3,N/A,"₹83,990",(19% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"Acer Aspire 3, Intel Core Celeron N4500, 8GB LPDDR4X, 512GB SSD, HD, 14""/35.56cm, Windows 11 Home, Pure Silver, 1.3KG, A324-45, HD Webcam, 38 WHR Laptop",https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSTHRD/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-4,N/A,"₹32,990",(30% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"HP 15, AMD Ryzen 3 7320U Laptop (8GB LPDDR5, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm,FHD, Win 11, Silver, 1.59kg, AMD Radeon Graphics, 1080p HD Camera, fc0154AU",https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-5,N/A,"₹40,000",(24% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey",https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=mp_s_a_1_6?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-6,N/A,"₹74,900",(21% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight",https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0DLHFM2XL/ref=mp_s_a_1_7?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-7,N/A,"₹85,900",(8% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA",https://www.amazon.in/Lenovo-SmartChoice-Chromebook-Speakers-82UY0014HA/dp/B0F2TMZJ24/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE&dib_tag=se&keywords=laptop&qid=1751310602&sr=8-8,N/A,"₹36,502",(56% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"Apple 2024 MacBook Pro Laptop with M4 Max chip with 14‑core CPU and 32‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage; Space Black",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjI5Njc2NDI3ODY2NTM6MTc1MTMxMDYwMjpzcF9waG9uZV9zZWFyY2hfbXRmOjMwMDM5Mjk2MzMyNzgzMjo6MDo6&url=%2FApple-MacBook-Laptop-14%25E2%2580%2591core-32%25E2%2580%2591core%2Fdp%2FB0DLHGCB3C%2Fref%3Dmp_s_a_1_9_sspa%3Fdib%3DeyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751310602%26sr%3D8-9-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&cr=DUB,N/A,"₹3,19,900",(3% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
"Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14‑core CPU and 20‑core GPU: Built for Apple Intelligence, (16.2″) Liquid Retina XDR Display, 48GB Unified Memory, 512GB SSD Storage; Silver",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjI5Njc2NDI3ODY2NTM6MTc1MTMxMDYwMjpzcF9waG9uZV9zZWFyY2hfbXRmOjMwMDM5Mjk2MzMyNjkzMjo6MDo6&url=%2FApple-MacBook-Laptop-14%25E2%2580%2591core-20%25E2%2580%2591core%2Fdp%2FB0DLJ7SJRK%2Fref%3Dmp_s_a_1_10_sspa%3Fdib%3DeyJ2IjoiMSJ9.82_zoh1wxf0Ar93dRbAVyXv0hBFHmw42q8DN6L_WsXqn8xGVGJyCmxtMElcEKtP21Uk3zxMGG31s1m7FulCjBN3YbkpOTlhidpSUCuewCs05oUXfA0OqiSyl_U7PfPxxyOqEZFolCtLvv1Q0w509WdcxXA7_vWdORsuxM1cqNGPecxNH4k9U4eOHKMRc9GUK5NddYJ4o3nhYaMpWQ-ZyNw.YvSS_n3Qqj58lV_3AU-ROmE9mi_K3Pxu7Ej2-oA_9UE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751310602%26sr%3D8-10-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&cr=DUB,N/A,"₹2,89,900",(3% off),https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
